RAJ2000,DEJ2000,pcS,paS,N
140.40999999999997,13.966194444444442,0.0,0.95,40
140.4372083333333,13.950027777777775,0.806,0.0,31
140.51116666666664,14.199277777777775,0.909,0.0,22
140.68224999999998,14.393138888888886,0.943,0.019,53
129.23279166666666,5.545027777777777,0.892,0.0,37
130.13841666666664,5.626999999999999,0.828,0.034,29
130.34595833333333,5.652638888888888,0.033,0.9,30
129.39670833333332,6.210333333333333,0.0,0.889,27
129.6593333333333,6.296722222222221,1.0,0.0,53
131.18516666666665,6.4207222222222216,0.029,0.882,34
131.6884583333333,6.959972222222222,0.0,0.917,36
130.46891666666664,7.11611111111111,0.0,0.966,29
129.64049999999997,7.208388888888888,0.04,0.96,25
129.79025,7.408777777777777,0.0,0.926,27
128.10266666666664,6.347777777777777,0.827,0.019,52
128.85666666666665,7.012833333333332,0.0,0.833,24
129.07970833333331,7.292444444444444,0.0,0.833,30
128.4775833333333,7.51261111111111,0.984,0.0,61
127.04912499999999,6.959916666666666,0.811,0.0,53
126.86508333333332,7.025666666666666,0.818,0.0,66
128.50820833333333,7.756499999999999,0.0,1.0,32
127.58574999999998,7.7382222222222214,1.0,0.0,31
